Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex
2016,Annual,9.110,0.067,Weekend days and holidays,65 years and over,Sleeping,Both
2017,Annual,9.030,0.077,Weekend days and holidays,65 years and over,Sleeping,Both
2003,Annual,8.480,0.031,All days,15 years and over,Sleeping,Men
2004,Annual,8.480,0.040,All days,15 years and over,Sleeping,Men
2005,Annual,8.530,0.034,All days,15 years and over,Sleeping,Men
2006,Annual,8.560,0.035,All days,15 years and over,Sleeping,Men
2007,Annual,8.520,0.038,All days,15 years and over,Sleeping,Men
2008,Annual,8.560,0.033,All days,15 years and over,Sleeping,Men
2009,Annual,8.620,0.041,All days,15 years and over,Sleeping,Men
2010,Annual,8.560,0.035,All days,15 years and over,Sleeping,Men
2011,Annual,8.620,0.036,All days,15 years and over,Sleeping,Men
2012,Annual,8.600,0.041,All days,15 years and over,Sleeping,Men
2013,Annual,8.650,0.041,All days,15 years and over,Sleeping,Men
2014,Annual,8.690,0.036,All days,15 years and over,Sleeping,Men
2015,Annual,8.770,0.045,All days,15 years and over,Sleeping,Men
2016,Annual,8.690,0.043,All days,15 years and over,Sleeping,Men
2017,Annual,8.700,0.040,All days,15 years and over,Sleeping,Men
2003,Annual,8.160,0.039,Nonholiday weekdays,15 years and over,Sleeping,Men
2004,Annual,8.160,0.053,Nonholiday weekdays,15 years and over,Sleeping,Men
2005,Annual,8.250,0.045,Nonholiday weekdays,15 years and over,Sleeping,Men
2006,Annual,8.260,0.045,Nonholiday weekdays,15 years and over,Sleeping,Men
2007,Annual,8.200,0.050,Nonholiday weekdays,15 years and over,Sleeping,Men
2008,Annual,8.270,0.045,Nonholiday weekdays,15 years and over,Sleeping,Men
2009,Annual,8.310,0.053,Nonholiday weekdays,15 years and over,Sleeping,Men
2010,Annual,8.270,0.047,Nonholiday weekdays,15 years and over,Sleeping,Men
2011,Annual,8.330,0.046,Nonholiday weekdays,15 years and over,Sleeping,Men
2012,Annual,8.280,0.052,Nonholiday weekdays,15 years and over,Sleeping,Men
2013,Annual,8.380,0.053,Nonholiday weekdays,15 years and over,Sleeping,Men
2014,Annual,8.440,0.047,Nonholiday weekdays,15 years and over,Sleeping,Men
2015,Annual,8.520,0.058,Nonholiday weekdays,15 years and over,Sleeping,Men
2016,Annual,8.360,0.056,Nonholiday weekdays,15 years and over,Sleeping,Men
2017,Annual,8.400,0.055,Nonholiday weekdays,15 years and over,Sleeping,Men
2003,Annual,9.220,0.044,Weekend days and holidays,15 years and over,Sleeping,Men
2004,Annual,9.230,0.046,Weekend days and holidays,15 years and over,Sleeping,Men
2005,Annual,9.220,0.060,Weekend days and holidays,15 years and over,Sleeping,Men
2006,Annual,9.280,0.055,Weekend days and holidays,15 years and over,Sleeping,Men
2007,Annual,9.240,0.055,Weekend days and holidays,15 years and over,Sleeping,Men
2008,Annual,9.250,0.055,Weekend days and holidays,15 years and over,Sleeping,Men
2009,Annual,9.330,0.048,Weekend days and holidays,15 years and over,Sleeping,Men
2010,Annual,9.280,0.046,Weekend days and holidays,15 years and over,Sleeping,Men
2011,Annual,9.310,0.059,Weekend days and holidays,15 years and over,Sleeping,Men
2012,Annual,9.330,0.059,Weekend days and holidays,15 years and over,Sleeping,Men
2013,Annual,9.300,0.056,Weekend days and holidays,15 years and over,Sleeping,Men
2014,Annual,9.260,0.053,Weekend days and holidays,15 years and over,Sleeping,Men
2015,Annual,9.340,0.061,Weekend days and holidays,15 years and over,Sleeping,Men
2016,Annual,9.470,0.061,Weekend days and holidays,15 years and over,Sleeping,Men
2017,Annual,9.380,0.053,Weekend days and holidays,15 years and over,Sleeping,Men
2003,Annual,9.140,0.095,All days,15 to 24 years,Sleeping,Men
2004,Annual,9.120,0.109,All days,15 to 24 years,Sleeping,Men
2005,Annual,9.200,0.118,All days,15 to 24 years,Sleeping,Men
2006,Annual,9.210,0.108,All days,15 to 24 years,Sleeping,Men
2007,Annual,9.030,0.125,All days,15 to 24 years,Sleeping,Men
2008,Annual,9.270,0.122,All days,15 to 24 years,Sleeping,Men
2009,Annual,9.560,0.136,All days,15 to 24 years,Sleeping,Men
2010,Annual,9.210,0.117,All days,15 to 24 years,Sleeping,Men
2011,Annual,9.330,0.107,All days,15 to 24 years,Sleeping,Men
2012,Annual,9.160,0.118,All days,15 to 24 years,Sleeping,Men
2013,Annual,9.300,0.140,All days,15 to 24 years,Sleeping,Men
2014,Annual,9.470,0.118,All days,15 to 24 years,Sleeping,Men
2015,Annual,9.510,0.162,All days,15 to 24 years,Sleeping,Men
2016,Annual,9.590,0.150,All days,15 to 24 years,Sleeping,Men
2017,Annual,9.780,0.133,All days,15 to 24 years,Sleeping,Men
2003,Annual,8.73,0.131,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2004,Annual,8.65,0.143,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2005,Annual,8.88,0.154,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2006,Annual,8.93,0.133,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2007,Annual,8.58,0.163,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2008,Annual,8.9,0.153,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2009,Annual,9.25,0.177,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2010,Annual,8.88,0.159,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2011,Annual,9.01,0.136,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2012,Annual,8.68,0.158,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2013,Annual,8.93,0.164,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2014,Annual,9.33,0.158,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2015,Annual,9.35,0.214,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2016,Annual,9.14,0.189,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2017,Annual,9.46,0.184,Nonholiday weekdays,15 to 24 years,Sleeping,Men
2003,Annual,10.13,0.133,Weekend days and holidays,15 to 24 years,Sleeping,Men
2004,Annual,10.25,0.156,Weekend days and holidays,15 to 24 years,Sleeping,Men
2005,Annual,9.96,0.164,Weekend days and holidays,15 to 24 years,Sleeping,Men
2006,Annual,9.88,0.18,Weekend days and holidays,15 to 24 years,Sleeping,Men
2007,Annual,9.99,0.182,Weekend days and holidays,15 to 24 years,Sleeping,Men
2008,Annual,10.13,0.18,Weekend days and holidays,15 to 24 years,Sleeping,Men
2009,Annual,10.31,0.149,Weekend days and holidays,15 to 24 years,Sleeping,Men
2010,Annual,9.99,0.148,Weekend days and holidays,15 to 24 years,Sleeping,Men
2011,Annual,10.11,0.187,Weekend days and holidays,15 to 24 years,Sleeping,Men
2012,Annual,10.24,0.153,Weekend days and holidays,15 to 24 years,Sleeping,Men
2013,Annual,10.18,0.228,Weekend days and holidays,15 to 24 years,Sleeping,Men
2014,Annual,9.8,0.134,Weekend days and holidays,15 to 24 years,Sleeping,Men
2015,Annual,9.9,0.217,Weekend days and holidays,15 to 24 years,Sleeping,Men
2016,Annual,10.65,0.189,Weekend days and holidays,15 to 24 years,Sleeping,Men
2017,Annual,10.46,0.163,Weekend days and holidays,15 to 24 years,Sleeping,Men
2003,Annual,8.300,0.066,All days,25 to 34 years,Sleeping,Men
2004,Annual,8.420,0.118,All days,25 to 34 years,Sleeping,Men
2005,Annual,8.440,0.092,All days,25 to 34 years,Sleeping,Men
2006,Annual,8.400,0.096,All days,25 to 34 years,Sleeping,Men
2007,Annual,8.450,0.108,All days,25 to 34 years,Sleeping,Men
2008,Annual,8.480,0.093,All days,25 to 34 years,Sleeping,Men
2009,Annual,8.480,0.103,All days,25 to 34 years,Sleeping,Men
2010,Annual,8.280,0.097,All days,25 to 34 years,Sleeping,Men
2011,Annual,8.370,0.100,All days,25 to 34 years,Sleeping,Men
2012,Annual,8.550,0.093,All days,25 to 34 years,Sleeping,Men
2013,Annual,8.450,0.104,All days,25 to 34 years,Sleeping,Men
2014,Annual,8.620,0.100,All days,25 to 34 years,Sleeping,Men
2015,Annual,8.790,0.122,All days,25 to 34 years,Sleeping,Men
2016,Annual,8.540,0.101,All days,25 to 34 years,Sleeping,Men
2017,Annual,8.470,0.116,All days,25 to 34 years,Sleeping,Men
2003,Annual,7.910,0.079,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2004,Annual,8.000,0.157,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2005,Annual,8.010,0.114,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2006,Annual,7.940,0.121,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2007,Annual,8.020,0.143,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2008,Annual,8.130,0.120,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2009,Annual,8.130,0.133,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2010,Annual,7.910,0.117,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2011,Annual,7.940,0.131,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2012,Annual,8.250,0.118,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2013,Annual,8.120,0.137,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2014,Annual,8.310,0.127,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2015,Annual,8.550,0.154,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2016,Annual,8.170,0.128,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2017,Annual,8.020,0.157,Nonholiday weekdays,25 to 34 years,Sleeping,Men
2003,Annual,9.230,0.106,Weekend days and holidays,25 to 34 years,Sleeping,Men
2004,Annual,9.380,0.118,Weekend days and holidays,25 to 34 years,Sleeping,Men
2005,Annual,9.460,0.163,Weekend days and holidays,25 to 34 years,Sleeping,Men
2006,Annual,9.500,0.117,Weekend days and holidays,25 to 34 years,Sleeping,Men
2007,Annual,9.430,0.138,Weekend days and holidays,25 to 34 years,Sleeping,Men
2008,Annual,9.320,0.149,Weekend days and holidays,25 to 34 years,Sleeping,Men
2009,Annual,9.340,0.133,Weekend days and holidays,25 to 34 years,Sleeping,Men
2010,Annual,9.170,0.136,Weekend days and holidays,25 to 34 years,Sleeping,Men
2011,Annual,9.340,0.171,Weekend days and holidays,25 to 34 years,Sleeping,Men
2012,Annual,9.280,0.130,Weekend days and holidays,25 to 34 years,Sleeping,Men
2013,Annual,9.220,0.130,Weekend days and holidays,25 to 34 years,Sleeping,Men
2014,Annual,9.320,0.135,Weekend days and holidays,25 to 34 years,Sleeping,Men
2015,Annual,9.330,0.151,Weekend days and holidays,25 to 34 years,Sleeping,Men
2016,Annual,9.450,0.118,Weekend days and holidays,25 to 34 years,Sleeping,Men
2017,Annual,9.450,0.148,Weekend days and holidays,25 to 34 years,Sleeping,Men
2003,Annual,8.200,0.059,All days,35 to 44 years,Sleeping,Men
2004,Annual,8.200,0.085,All days,35 to 44 years,Sleeping,Men
2005,Annual,8.360,0.068,All days,35 to 44 years,Sleeping,Men
2006,Annual,8.280,0.078,All days,35 to 44 years,Sleeping,Men
2007,Annual,8.280,0.079,All days,35 to 44 years,Sleeping,Men
2008,Annual,8.310,0.070,All days,35 to 44 years,Sleeping,Men
2009,Annual,8.280,0.071,All days,35 to 44 years,Sleeping,Men
2010,Annual,8.290,0.076,All days,35 to 44 years,Sleeping,Men
2011,Annual,8.350,0.077,All days,35 to 44 years,Sleeping,Men
2012,Annual,8.330,0.076,All days,35 to 44 years,Sleeping,Men
2013,Annual,8.370,0.068,All days,35 to 44 years,Sleeping,Men
2014,Annual,8.190,0.086,All days,35 to 44 years,Sleeping,Men
2015,Annual,8.670,0.123,All days,35 to 44 years,Sleeping,Men
2016,Annual,8.410,0.107,All days,35 to 44 years,Sleeping,Men
2017,Annual,8.360,0.097,All days,35 to 44 years,Sleeping,Men
2003,Annual,7.860,0.075,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2004,Annual,7.880,0.111,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2005,Annual,8.030,0.096,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2006,Annual,7.950,0.102,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2007,Annual,7.980,0.105,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2008,Annual,7.990,0.090,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2009,Annual,7.930,0.092,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2010,Annual,7.960,0.097,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2011,Annual,8.000,0.107,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2012,Annual,8.010,0.102,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2013,Annual,8.010,0.087,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2014,Annual,7.780,0.102,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2015,Annual,8.330,0.162,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2016,Annual,8.060,0.153,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2017,Annual,7.970,0.126,Nonholiday weekdays,35 to 44 years,Sleeping,Men
2003,Annual,9.000,0.070,Weekend days and holidays,35 to 44 years,Sleeping,Men
2004,Annual,8.990,0.099,Weekend days and holidays,35 to 44 years,Sleeping,Men
2005,Annual,9.160,0.100,Weekend days and holidays,35 to 44 years,Sleeping,Men
2006,Annual,9.050,0.099,Weekend days and holidays,35 to 44 years,Sleeping,Men
2007,Annual,9.000,0.101,Weekend days and holidays,35 to 44 years,Sleeping,Men
2008,Annual,9.060,0.128,Weekend days and holidays,35 to 44 years,Sleeping,Men
2009,Annual,9.080,0.097,Weekend days and holidays,35 to 44 years,Sleeping,Men
2010,Annual,9.110,0.118,Weekend days and holidays,35 to 44 years,Sleeping,Men
2011,Annual,9.170,0.111,Weekend days and holidays,35 to 44 years,Sleeping,Men
2012,Annual,9.090,0.107,Weekend days and holidays,35 to 44 years,Sleeping,Men
2013,Annual,9.210,0.113,Weekend days and holidays,35 to 44 years,Sleeping,Men
2014,Annual,9.160,0.118,Weekend days and holidays,35 to 44 years,Sleeping,Men
2015,Annual,9.480,0.127,Weekend days and holidays,35 to 44 years,Sleeping,Men
2016,Annual,9.270,0.135,Weekend days and holidays,35 to 44 years,Sleeping,Men
2017,Annual,9.280,0.128,Weekend days and holidays,35 to 44 years,Sleeping,Men
2003,Annual,8.080,0.056,All days,45 to 54 years,Sleeping,Men
2004,Annual,8.110,0.082,All days,45 to 54 years,Sleeping,Men
2005,Annual,8.030,0.080,All days,45 to 54 years,Sleeping,Men
2006,Annual,8.200,0.082,All days,45 to 54 years,Sleeping,Men
2007,Annual,8.180,0.086,All days,45 to 54 years,Sleeping,Men
2008,Annual,8.160,0.076,All days,45 to 54 years,Sleeping,Men
2009,Annual,8.170,0.064,All days,45 to 54 years,Sleeping,Men
2010,Annual,8.150,0.072,All days,45 to 54 years,Sleeping,Men
2011,Annual,8.230,0.072,All days,45 to 54 years,Sleeping,Men
2012,Annual,8.380,0.086,All days,45 to 54 years,Sleeping,Men
2013,Annual,8.400,0.083,All days,45 to 54 years,Sleeping,Men
2014,Annual,8.460,0.082,All days,45 to 54 years,Sleeping,Men
2015,Annual,8.220,0.080,All days,45 to 54 years,Sleeping,Men
2016,Annual,8.170,0.079,All days,45 to 54 years,Sleeping,Men
2017,Annual,8.470,0.109,All days,45 to 54 years,Sleeping,Men
2003,Annual,7.760,0.074,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2004,Annual,7.830,0.109,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2005,Annual,7.720,0.102,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2006,Annual,7.870,0.108,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2007,Annual,7.850,0.103,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2008,Annual,7.810,0.100,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2009,Annual,7.820,0.080,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2010,Annual,7.790,0.101,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2011,Annual,7.950,0.091,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2012,Annual,8.030,0.095,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2013,Annual,8.150,0.106,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2014,Annual,8.120,0.101,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2015,Annual,7.810,0.099,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2016,Annual,7.780,0.101,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2017,Annual,8.230,0.150,Nonholiday weekdays,45 to 54 years,Sleeping,Men
2003,Annual,8.820,0.090,Weekend days and holidays,45 to 54 years,Sleeping,Men
2004,Annual,8.750,0.099,Weekend days and holidays,45 to 54 years,Sleeping,Men
2005,Annual,8.810,0.119,Weekend days and holidays,45 to 54 years,Sleeping,Men
2006,Annual,8.950,0.129,Weekend days and holidays,45 to 54 years,Sleeping,Men
2007,Annual,8.950,0.137,Weekend days and holidays,45 to 54 years,Sleeping,Men
2008,Annual,8.970,0.095,Weekend days and holidays,45 to 54 years,Sleeping,Men
2009,Annual,8.930,0.121,Weekend days and holidays,45 to 54 years,Sleeping,Men
2010,Annual,9.020,0.099,Weekend days and holidays,45 to 54 years,Sleeping,Men
2011,Annual,8.890,0.102,Weekend days and holidays,45 to 54 years,Sleeping,Men
2012,Annual,9.190,0.151,Weekend days and holidays,45 to 54 years,Sleeping,Men
2013,Annual,8.980,0.112,Weekend days and holidays,45 to 54 years,Sleeping,Men
2014,Annual,9.250,0.116,Weekend days and holidays,45 to 54 years,Sleeping,Men
2015,Annual,9.240,0.131,Weekend days and holidays,45 to 54 years,Sleeping,Men
2016,Annual,9.100,0.128,Weekend days and holidays,45 to 54 years,Sleeping,Men
2017,Annual,9.070,0.119,Weekend days and holidays,45 to 54 years,Sleeping,Men
2003,Annual,8.320,0.068,All days,55 to 64 years,Sleeping,Men
2004,Annual,8.300,0.076,All days,55 to 64 years,Sleeping,Men
2005,Annual,8.200,0.077,All days,55 to 64 years,Sleeping,Men
2006,Annual,8.320,0.095,All days,55 to 64 years,Sleeping,Men
2007,Annual,8.320,0.088,All days,55 to 64 years,Sleeping,Men
2008,Annual,8.240,0.071,All days,55 to 64 years,Sleeping,Men
2009,Annual,8.370,0.084,All days,55 to 64 years,Sleeping,Men
2010,Annual,8.510,0.077,All days,55 to 64 years,Sleeping,Men
2011,Annual,8.400,0.076,All days,55 to 64 years,Sleeping,Men
2012,Annual,8.310,0.093,All days,55 to 64 years,Sleeping,Men
2013,Annual,8.520,0.084,All days,55 to 64 years,Sleeping,Men
2014,Annual,8.350,0.068,All days,55 to 64 years,Sleeping,Men
2015,Annual,8.380,0.087,All days,55 to 64 years,Sleeping,Men
2016,Annual,8.450,0.106,All days,55 to 64 years,Sleeping,Men
2017,Annual,8.300,0.086,All days,55 to 64 years,Sleeping,Men
2003,Annual,8.070,0.083,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2004,Annual,8.100,0.095,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2005,Annual,7.960,0.096,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2006,Annual,7.990,0.115,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2007,Annual,8.150,0.109,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2008,Annual,7.950,0.091,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2009,Annual,8.060,0.098,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2010,Annual,8.250,0.090,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2011,Annual,8.110,0.100,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2012,Annual,8.050,0.121,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2013,Annual,8.360,0.120,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2014,Annual,8.130,0.092,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2015,Annual,8.140,0.110,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2016,Annual,8.150,0.121,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2017,Annual,8.010,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Men
2003,Annual,8.910,0.103,Weekend days and holidays,55 to 64 years,Sleeping,Men
2004,Annual,8.780,0.095,Weekend days and holidays,55 to 64 years,Sleeping,Men
2005,Annual,8.770,0.125,Weekend days and holidays,55 to 64 years,Sleeping,Men
2006,Annual,9.100,0.158,Weekend days and holidays,55 to 64 years,Sleeping,Men
2007,Annual,8.700,0.133,Weekend days and holidays,55 to 64 years,Sleeping,Men
2008,Annual,8.910,0.108,Weekend days and holidays,55 to 64 years,Sleeping,Men
2009,Annual,9.090,0.129,Weekend days and holidays,55 to 64 years,Sleeping,Men
2010,Annual,9.140,0.133,Weekend days and holidays,55 to 64 years,Sleeping,Men
2011,Annual,9.070,0.133,Weekend days and holidays,55 to 64 years,Sleeping,Men
2012,Annual,8.920,0.161,Weekend days and holidays,55 to 64 years,Sleeping,Men
2013,Annual,8.910,0.096,Weekend days and holidays,55 to 64 years,Sleeping,Men
2014,Annual,8.880,0.103,Weekend days and holidays,55 to 64 years,Sleeping,Men
2015,Annual,8.930,0.124,Weekend days and holidays,55 to 64 years,Sleeping,Men
2016,Annual,9.140,0.169,Weekend days and holidays,55 to 64 years,Sleeping,Men
2017,Annual,9.000,0.120,Weekend days and holidays,55 to 64 years,Sleeping,Men
2003,Annual,8.890,0.066,All days,65 years and over,Sleeping,Men
2004,Annual,8.760,0.067,All days,65 years and over,Sleeping,Men
2005,Annual,8.980,0.098,All days,65 years and over,Sleeping,Men
2006,Annual,9.030,0.081,All days,65 years and over,Sleeping,Men
2007,Annual,8.910,0.102,All days,65 years and over,Sleeping,Men
2008,Annual,8.950,0.088,All days,65 years and over,Sleeping,Men
2009,Annual,8.830,0.085,All days,65 years and over,Sleeping,Men
2010,Annual,9.000,0.081,All days,65 years and over,Sleeping,Men
2011,Annual,9.050,0.092,All days,65 years and over,Sleeping,Men
2012,Annual,8.810,0.075,All days,65 years and over,Sleeping,Men
2013,Annual,8.830,0.078,All days,65 years and over,Sleeping,Men
2014,Annual,8.960,0.087,All days,65 years and over,Sleeping,Men
2015,Annual,8.970,0.078,All days,65 years and over,Sleeping,Men
2016,Annual,8.900,0.072,All days,65 years and over,Sleeping,Men
2017,Annual,8.750,0.077,All days,65 years and over,Sleeping,Men
2003,Annual,8.790,0.084,Nonholiday weekdays,65 years and over,Sleeping,Men
2004,Annual,8.630,0.092,Nonholiday weekdays,65 years and over,Sleeping,Men
2005,Annual,8.990,0.124,Nonholiday weekdays,65 years and over,Sleeping,Men
2006,Annual,8.990,0.108,Nonholiday weekdays,65 years and over,Sleeping,Men
2007,Annual,8.790,0.133,Nonholiday weekdays,65 years and over,Sleeping,Men
2008,Annual,8.950,0.116,Nonholiday weekdays,65 years and over,Sleeping,Men
2009,Annual,8.680,0.116,Nonholiday weekdays,65 years and over,Sleeping,Men
2010,Annual,8.930,0.098,Nonholiday weekdays,65 years and over,Sleeping,Men
2011,Annual,8.970,0.119,Nonholiday weekdays,65 years and over,Sleeping,Men
2012,Annual,8.680,0.097,Nonholiday weekdays,65 years and over,Sleeping,Men
2013,Annual,8.670,0.099,Nonholiday weekdays,65 years and over,Sleeping,Men
2014,Annual,8.900,0.113,Nonholiday weekdays,65 years and over,Sleeping,Men
2015,Annual,8.890,0.102,Nonholiday weekdays,65 years and over,Sleeping,Men
2016,Annual,8.810,0.094,Nonholiday weekdays,65 years and over,Sleeping,Men
2017,Annual,8.680,0.106,Nonholiday weekdays,65 years and over,Sleeping,Men
2003,Annual,9.120,0.082,Weekend days and holidays,65 years and over,Sleeping,Men
2004,Annual,9.070,0.096,Weekend days and holidays,65 years and over,Sleeping,Men
2005,Annual,8.970,0.118,Weekend days and holidays,65 years and over,Sleeping,Men
2006,Annual,9.120,0.104,Weekend days and holidays,65 years and over,Sleeping,Men
2007,Annual,9.210,0.118,Weekend days and holidays,65 years and over,Sleeping,Men
2008,Annual,8.930,0.134,Weekend days and holidays,65 years and over,Sleeping,Men
2009,Annual,9.190,0.106,Weekend days and holidays,65 years and over,Sleeping,Men
2010,Annual,9.170,0.115,Weekend days and holidays,65 years and over,Sleeping,Men
2011,Annual,9.250,0.125,Weekend days and holidays,65 years and over,Sleeping,Men
2012,Annual,9.100,0.105,Weekend days and holidays,65 years and over,Sleeping,Men
2013,Annual,9.200,0.091,Weekend days and holidays,65 years and over,Sleeping,Men
2014,Annual,9.100,0.105,Weekend days and holidays,65 years and over,Sleeping,Men
2015,Annual,9.150,0.091,Weekend days and holidays,65 years and over,Sleeping,Men
2016,Annual,9.120,0.101,Weekend days and holidays,65 years and over,Sleeping,Men
2017,Annual,8.890,0.116,Weekend days and holidays,65 years and over,Sleeping,Men
2003,Annual,8.650,0.022,All days,15 years and over,Sleeping,Women
2004,Annual,8.610,0.028,All days,15 years and over,Sleeping,Women
2005,Annual,8.710,0.029,All days,15 years and over,Sleeping,Women
